genus_species,AUTHOR,order,suborder,family,year,Rege.Date.Source,Intentional_Release,Host_Group,origin,origin2,PHAGY,Source,Synonym,TSN,Canada.or.US,Confirmed.Establishment,Comment,eradicated
Encyrtus saliens,PrinslooandAnnecke,Hymenoptera,"NA",Encyrtidae,1980,"NA",I,forest trees,Afrotropic,"NA",Parasite,"Wright (1986) Immature Stages of Encyrtus saliens (Hymenoptera: Encyrtidae)  an Imported Parasite oflce Plant Scales (Homoptera:
Coccidae) in California. Ann. ent. Soc. Am. 79: 273 -279
ROBO 1981, Pub. 1464, pg. 83","NA","NA","NA","NA","NA",NA
Endelomyia aethiops,(Fabricius),Hymenoptera,"NA",Tenthredinidae,1841,"NA","NA",food crops and vegetables: forage crops and grasses,Palearctic(Europe),"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Endrosis sarcitrella,(Linnaeus),Lepidoptera,"NA",Oecophoridae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Enizeman ornatum,(Gravenhorst),Hymenoptera,"NA",Ichneumonidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ennomos alniaria,L.,Lepidoptera,"NA",Geometridae,"NA","NA","NA",preferred host: Ficus retusa; when abundant will feed on other Ficus spp. & other hosts; feeding by the immatures causes leaves to curl,Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Entedon leucogramma,(Ratzeburg),Hymenoptera,"NA",Eulophidae,1967,"Cooperative Economic Insect Report, 18(7): 79. plant Pest Control Division, Agricultural Research Service.  February 16, 1968.","NA",parasite of cereal leaf beetle: Oulema melanopus,Palearctic(Europe),"NA","NA",Kennedy (1981) Oviposition by Dendrosoter protuberans (Hymenoptera: Braconidae) on larvae of Scolmus multistriatus (Coleoptera: Scolytidae) occupied by larvae of Entedon leucogramma (Hymenoptera: Eulophidae). Great Lake Entomologist 14: 109-112,"NA","NA","NA","NA","NA",NA
Eocanthecana furcellata,(Wolff),Hemiptera,Prosorrhyncha,Pentatomidae,1980,"NA","NA","NA",Indomalaya,"NA",Predator,Frank and McCoy (1993) Introduction to the Behavioral Ecology of Introduction. The Introduction of Insects into Florida. The Florida Entomologist 76 1-53.,"NA","NA","NA","NA","NA",NA
Ephedrus palaestinensis,Mackauer,Hymenoptera,"NA",Braconidae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,Ephedrus persicae,"NA","NA","NA","NA",NA
Ephedrus plagiator,(Nees),Hymenoptera,"NA",Braconidae,1972,"NA",I,gipsy moth: satin moth: white-marked tussock moth: cabbage butterfly,Palearctic(Europe),"NA",Parasite,"Rogers et al (1972) Host-parasitoid interaction of Aphis helianthi on sunflowers with introduced Aphelinus asychis
Ephedrus plagiator and Praon gallicum and native Aphelinus nigritus and Lysiphlebus testaceipes. Ann. Entomol. Soc. Am. 65:38.41
ROBO 1981, Pub. 1464, pg. 84; http://books.google.com/books?id=lZh0gFJwx0UC&pg=PA323&lpg=PA323&dq=Ephedrus+plagiator+establishment&source=bl&ots=v1vKCE_sXD&sig=VPtmdCCbjR3GsCklaautz5MSml0&hl=en&sa=X&ei=D2tpUrP3DaS7igKU_YCYBg&ved=0CC4Q6AEwAA#v=onepage&q=Ephedrus%20plagiator%20establishment&f=false","NA","NA","NA","NA","NA",NA
Ephestia elutella,(Hubner),Lepidoptera,"NA",Pyralidae,1930,"NA","NA",Collected on Stellaria graminea & observed on several other hosts,Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Epiblema cynosbatella,(L.),Lepidoptera,"NA",Tortricidae,1978,"NA","NA",Other,Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,Pardia cynosbatella,"NA","NA","NA","NA",NA
Epichrysocharis burwelli,"NA",Hymenoptera,"NA",Eulophidae,2009,"NA","NA","NA",Australasia,"NA","NA",Schauff (2000) An introduced species of Epichrysocharis (Hymenoptera: Eulophidae) producing galls on Eucalyptus in California with notes on the described species and placement of the genus. Journal of Hymenoptera Research 9: 176-181,"NA","NA","NA","NA","NA",NA
Epidiaspis leperii,(Signoret),Hemiptera,Sternorrhyncha,Diaspididae,1882,"NA","NA","NA",Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Epidromia pannosa,Guenee,Lepidoptera,"NA",Noctuidae,1983,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Epidromia pyraliformis,(Walker),Lepidoptera,"NA",Noctuidae,1983,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Epilachna varivestris,Mulsant,Coleoptera,"NA",Coccinellidae,1800,"Capinera, John L. 2002. North American vegetable pests: the pattern of invasion;; American Entomologist 48(1): 20-39.","NA","NA",Neotropic,"NA","NA","Capinera, John L. 2002. North American vegetable pests: the pattern of invasion;; American Entomologist 48(1): 20-39.","NA","NA","NA","NA","NA",NA
Epilampra maya,Rehn,Blattodea,"NA",Blattellidae,1982,"Epilampra maya Rehn, a Central American Cockroach Newly Established in the United States (Blattodea; Blaberidae; Epilamprinae)David A. Nickle and Bruce W. Sibson Page 487 of 487-489 
","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Epimorius testaceellus,Ragonot,Lepidoptera,"NA",Noctuidae (Pyralidae???),1974,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Epinotia abbreviana,(Fabricius),Lepidoptera,"NA",Tortricidae,"NA","NA","NA","NA","NA","NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.","NA","NA","NA","NA","NA",NA
Epinotia lantana,(Busck),Lepidoptera,"NA",Tortricidae,1902,"NA","NA",Other,Neotropic,"NA","NA","NANIAD
http://www.daff.qld.gov.au/__data/assets/pdf_file/0005/71636/IPA-Lantana-Biocontrol-11.pdf","NA","NA","NA","NA","NA",NA
Epinotia nanana,(Treitschke),Lepidoptera,"NA",Tortricidae,1907,"NA","NA",Other,Palearctic(Europe),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Epiphyas postvittana,(Walker),Lepidoptera,"NA",Tortricidae,2007,http://www.invasivespeciesinfo.gov/animals/applemoth.shtml,"NA",food crops and vegetables: forage crops and grasses,Australasia,"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Epitritus hexamerus,Brown,Hymenoptera,"NA",Formicidae,1987,"NA","NA","NA",Palearctic(Asia),"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Erannis defoliaria,(Clerck),Lepidoptera,"NA",Geometridae,"NA","NA","NA","NA",Palearctic(Europe),"NA","NA",Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station,"NA","NA","NA","NA","NA",NA
Eretmocerus californicus,Howard,Hymenoptera,"NA",Aphelinidae,1966,"NA",I,On flowers of Erechtites: nest in stump of Bay tree.,Palearctic(Europe),"NA",Parasite,"Gerling (1966) Studies with whitefly parasites of Southern California. II. Eretmocerus californicus Howard (Hymenoptera: Aphelinidae). Canadian Entomologist 98: 1316ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“1329
ROBO 1981, Pub. 1464, pg. 85","NA","NA","NA","NA","NA",NA
Eretmocerus mundus,Mercet,Hymenoptera,"NA",Aphelinidae,1990,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Frank and McCoy (1994) Introduction to the Behavioral Ecology of Introduction. Commercial importation into Florida of invertebrate animals as biological control agents. The Florida Entomologist 77 1-20.,"NA","NA","NA","NA","NA",NA
Eriborus terebrans,(Gravenhorst),Hymenoptera,"NA",Ichneumonidae,1921,"NA",I,parasite of alfalfa plant bug: Adelphocris lineolatus,Palearctic(Asia)  Palearctic(Europe),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 230-231","NA","NA","NA","NA","NA",NA
Erichsonius cinerascens,Gravenhorst,Coleoptera,"NA",Staphylinidae,1874,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part V; AMNH Bulletin No. 265, 2001. pg. 2590; Fauvel, A. 1874. Faune Gallo-RhÃƒÆ’Ã‚Â©nane . . . Bulletin de la SociÃƒÆ’Ã‚Â©tÃƒÆ’Ã‚Â© LinnÃƒÆ’Ã‚Â©enne de Normandie (2)8: 167ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“340. pg. 202.","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Eriocampa ovata,(Linnaeus),Hymenoptera,"NA",Tenthredinidae,1951,"NA","NA",food crops and vegetables,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Eriococcus araucariae,Maskell,Hemiptera,Sternorrhyncha,Eriococcidae,1880,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Eriococcus azaleae,Comstock,Hemiptera,Sternorrhyncha,Eriococcidae,1896,"Davis, G. C. 1896. Pests of house and ornamental plants. Bull. Mich. State Agr. Coll.  Expt. Sta. Spec. Bull. 2,45 pp.","NA","NA",Palearctic(Asia),"NA","NA",Aukema,"NA","NA","NA","NA","NA",NA
Eriococcus insignis,Newstead,Hemiptera,Sternorrhyncha,Eriococcidae,1924,"NA","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Eriococcus lagerstroemiae,"NA",Hemiptera,Sternorrhyncha,Eriococcidae,2004,"Merchant, M. E., Gu, M., Robbins, J., Vafaie, E., Barr, N., Tripodi, A. D., & Szalanski, A. L. Discovery and Spread of Eriococcus lagerstroemiae Kuwana (Hemiptera: Eriococcidae), a New Invasive Pest of Crape Myrtle, Lagerstroemia spp. https://www.researchgate.net/profile/Allen_Szalanski/publication/267521252_Discovery_and_spread_of_Eriococcus_lagerstroemiae_Hemiptera_Eriococcidae_a_new_invasive_pest_of_crape_myrtle/links/56c1e9bf08ae44da37ff46af.pdf","NA","NA",Palearctic(Asia),"NA","NA","Merchant, M. E., Gu, M., Robbins, J., Vafaie, E., Barr, N., Tripodi, A. D., & Szalanski, A. L. Discovery and Spread of Eriococcus lagerstroemiae Kuwana (Hemiptera: Eriococcidae), a New Invasive Pest of Crape Myrtle, Lagerstroemia spp. https://www.researchgate.net/profile/Allen_Szalanski/publication/267521252_Discovery_and_spread_of_Eriococcus_lagerstroemiae_Hemiptera_Eriococcidae_a_new_invasive_pest_of_crape_myrtle/links/56c1e9bf08ae44da37ff46af.pdf","NA","NA","NA","NA","NA",NA
Eriococcus pittospori,Ferris,Hemiptera,Sternorrhyncha,Eriococcidae,1954,"NA","NA","NA",Australasia,"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Eriococcus spurius,Modeer,Hemiptera,Sternorrhyncha,Eriococcidae,1884,"Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA","Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.",Gossyparia spuria,"NA","NA","NA","NA",NA
Eriopletis festucae,(Boyer de Fonscolombe),Hemiptera,Sternorrhyncha,Coccidae,1899,"Miller, Douglass R. et.al. 2005. Introduced scale insects (Hemiptera: Coccoidea) of the United States and their impact on U.S. agriculture. Proc. Entomol. Soc. Wash 107(1): 123-158.","NA","NA",Palearctic(Asia) Palearctic(Europe),"NA","NA",Miller,"NA","NA","NA","NA","NA",NA
Eriosoma grossulariae,(Schule),Hemiptera,"NA",Aphididae,1913,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.","NA","NA",Canada,Y,"NA",NA
Eriosoma pyricola,Baker & Davidson,Hemiptera,"NA",Aphididae,1897,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",US,Y,"NA",NA
Eriosoma ulmi,(Linnaeus),Hemiptera,"NA",Aphididae,2003,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA","Langor DW DeHaas LJ Foottit RG (2009) Diversity of non-native terrestrial arthropods on woody plants in Canada. Ecological Impacts of Non-Native Invertebrates and Fungi on Terrestrial Ecosystems. Springer Netherlands, 2009. 5-19.
Urban (2003) Biology and harmfulness of Eriosoma (= Schizoneura) ulmi (L.) (Aphidinea Pemphigidae) in elm. J. For. Scie 49: 359-379","NA","NA",Canada,Y,"NA",NA
Eristalinus taeniops,Wiedemann,Diptera,"NA",Syrphidae,1985,"Thompson, F. Christian, Fee, Frank D., Berzark, Larry G. 1990. Two immigrant synanthropic flower flies (Diptera: Syrphidae) new to North America; Entomological News 101(2): 69-74.","NA","NA",Afrotropic,"NA","NA","Thompson, F. Christian, Fee, Frank D., Berzark, Larry G. 1990. Two immigrant synanthropic flower flies (Diptera: Syrphidae) new to North America; Entomological News 101(2): 69-74.","NA","NA","NA","NA","NA",NA
Eristalis arbustorum,Linnaeus,Diptera,"NA",Syrphidae,1906,"Osburn, Raymond C. 1915. Studies in Syrphidae - IV. Species of Eristalis new to America, with notes on others. Journal of the New York Entomological Society; Vol 23: 139-145.","NA",fruit trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Eristalis rupium,Fabricius,Diptera,"NA",Syrphidae,1915,"Osburn, Raymond C. 1915. Studies in Syrphidae - IV. Species of Eristalis new to America, with notes on others. Journal of the New York Entomological Society; Vol 23: 139-145.","NA",fruit trees: ornamental plants and flowers,Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Eristalis tenax,(Linnaeus),Diptera,"NA",Syrphidae,1870,"Osburn, Raymond C. 1915. Studies in Syrphidae - IV. Species of Eristalis new to America, with notes on others. Journal of the New York Entomological Society; Vol 23: 139-145.","NA","NA",Palearctic(Asia)  Indomalaya,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ernobius mollis,(Linnaeus),Coleoptera,"NA",Anobiidae,1846,"Majka, Christopher G.; 2007; The Derodontidae, Dermestidae, Bostrichidae, and Anobiidae of the Maritime Provinces of Canada (Coleoptera: Bostrichiformia), Magnolia Press, Zootaxa 1573: 1-38. pg. 35.",N,"NA",Palearctic(Europe),"NA",Detritivore (instrumental in the decomposition of dead wood),"Mattson (1994) Immigrant phytophagous insects: an Annotated List. pp. 27 USDA NC For. Exp. Station
http://spfnic.fs.fed.us/exfor/data/pestreports.cfm?pestidval=83&langdisplay=english","NA","NA","NA","NA","NA",NA
Erosmyia mangiferae,(Tavares),Diptera,"NA",Cecidomyiidae,1910,"NA","NA",ornamental plants and flowers: food crops and vegetables,"NA","NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Erynniopsis antennata,(Rondani),Diptera,"NA",Tachinidae,1909,"NA",I,fruit trees: ornamental plants and flowers,Palearctic(Europe),"NA",Parasite,"Clausen (1956) Biological Control of Insect Pests in the Continental United States U.S. Dept. of Agriculture Washington D. C.
Ag Handbook 480 pg. 256",Erynniopsis rondanni,"NA","NA","NA","NA",NA
Erythemis plebeja,(Burmeister),Odonata,"NA",Libellulidae,1971,"NA","NA","NA",Neotropic,"NA","NA",Frank and McCoy (1992) Introduction to the behavioral ecology of immigration. The immigration of insects to Florida with a tabulation of records published since 1970. The Florida Entomologist 75: 1-28,"NA","NA","NA","NA","NA",NA
Erythroneura flammigera,Geoffr.,Hemiptera,"NA",Cicadellidae,1950,The Canadian Insect Pest Review 30: 268. 1952.,"NA","NA",Palearctic(Europe),"NA","NA","Hamilton, K. G. A. (1983). Introduced and native leafhoppers common to the old and new worlds (Rhynchota: Homoptera: Cicadellidae). The Canadian Entomologist, 115(5), 473-511.",Zygina flammingera,"NA","NA","NA","NA",NA
Esperia sulphurella,(Fabricius),Lepidoptera,"NA",Oecophoridae,1965,"NA","NA","NA",Palearctic(Europe),"NA","NA","NANIAD
BugGuide","NA","NA","NA","NA","NA",NA
Ethirothrips brevis,(Bagnall),Thysanoptera,"NA",Phlaeothripidae,1971,"NA","NA",Cruciferous plants,Afrotorpic,"NA","NA",NANIAD,"Scotothrips claripennis,Scotothrips claripennis","NA","NA","NA","NA",NA
Ethmia bipunctella,(Fabricius),Lepidoptera,"NA",Ethmiidae,1963,"NA","NA","NA",Palearctic(Europe),"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Ethmia submissa,Busck,Lepidoptera,"NA",Ethmiidae,1987,"Dickel, T.S. 1988. Season summary. News Lepidopts. Soc. 1988 (2): 36.","NA","NA",Neotropic,"NA","NA","Dickel, T.S. 1988. Season summary. News Lepidopts. Soc. 1988 (2): 36.","NA","NA","NA","NA","NA",NA
Etiella zinckenella,(Treitschke),Lepidoptera,"NA",Pyralidae,1875,"Capinera, John L. 2002. North American vegetable pests: the pattern of invasion; American Entomologist 48(1): 20-39.","NA",various hosts: generally grasses,Palearctic(Europe),"NA","NA",CPC,"NA","NA","NA","NA","NA",NA
Euaesthetus laeviusculus,Mannerheim,Coleoptera,"NA",Staphylinidae,1991,"Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1847.;  Campbell, J. M., and A. Davies, 1991. Family Staphylinidae. Rove beetles. pp. 86ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“124. In Y. Bousquet (ed.), Checklist of beetles of
Canada and Alaska. Publication 1861/E. 430 pp. Ottawa: Agriculture Canada.","NA","NA","NA","NA","NA","Herman, Lee H. Catalog of the Staphylinidae (Insecta: Coleoptera). 1758 to the end of the second millenium.. Part IV; AMNH Bulletin No. 265, 2001. pg. 1847.;  Campbell, J. M., and A. Davies, 1991. Family Staphylinidae. Rove beetles. pp. 86ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“124. In Y. Bousquet (ed.), Checklist of beetles of
Canada and Alaska. Publication 1861/E. 430 pp. Ottawa: Agriculture Canada.","NA","NA","NA","NA","NA",NA
Euaresta bullans,Wiedemann,Diptera,"NA",Tephritidae,1940,"NA","NA","NA",Neotropic,"NA","NA",http://www.sel.barc.usda.gov/diptera/tephriti/Euaresta/bullans.htm,"NA","NA","NA","NA","NA",NA
Euborellia annulipes,(Lucas) ( Non Dohrn),Dermaptera,"NA",Anisolabididae,1904,"Hebard, Morgan, 1917. Notes on the earwigs (Dermaptera) of North America, north of the Mexican boundary. Entomological News, Vol. 28, pg. 312.; Rehn, James A. G., and Hebard, Morgan. 1904. Proc. Acad. Nat. Sci., Phila., p.778.","NA","NA",Cosmopolitan,"NA","NA",NANIAD,"NA","NA","NA","NA","NA",NA
Euborellia cincticollis,"NA",Dermaptera,"NA",Anisolabididae,1975,"NA","NA","NA",Afrotropic,"NA","NA",BugGuide,"NA","NA","NA","NA","NA",NA
Eubule spartocerana,"NA",Hemiptera,Prosorrhyncha,Coreidae,2012,"NA","NA","NA","NA","NA","NA",Sandy,"NA","NA","NA","NA","NA",NA
Eucallipterus tiliae,"NA",Hemiptera,"NA",Aphididae,1890,"Foottit, Robert G., et.al. 2006. Adventive aphids (Hemiptera: Aphididae) of America north of Mexico; Proc. Entomol. Soc. Wash. 108(3): 583-610.","NA","NA",Palearctic(Europe),"NA","NA",Aukema,"NA","NA",US,Y,"NA",NA
